elementId	reviewGroup	decisionStatus	targetCategory	roles	disposition	rationale	replacement	migrationGuideAnchor	ownerPhase	notes
method:org.hibernate.dialect.Dialect#getForUpdateSkipLockedString(java.lang.String)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	A dedicated alias-plus-skip-locked hook is another Cartesian-product overload of the same rendering operation.	A supported LockingClauseRenderer request carrying Timeouts.SKIP_LOCKED and immutable lock targets		Phase 5	Migrate provider overrides to the focused renderer or a locking-strategy family.
method:org.hibernate.dialect.Dialect#getReadLockString(int)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REMOVE	This deprecated primitive-timeout read-lock overload duplicates the typed timeout rendering path.	The supported LockingClauseRenderer using a share lock kind and jakarta.persistence.Timeout		Phase 5	Migrate remaining overrides while introducing the renderer and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getReadLockString(jakarta.persistence.Timeout)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Read-lock clause syntax is one lock-kind branch of a coherent rendering operation rather than an independent Dialect capability.	A supported LockingClauseRenderer request carrying share lock kind and Timeout		Phase 5	The standard renderer may delegate shared syntax to update syntax, while database families can compose a distinct share template.
method:org.hibernate.dialect.Dialect#getReadLockString(java.lang.String,int)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REMOVE	This deprecated primitive-timeout and unstructured-target overload duplicates the typed structured rendering path.	The supported LockingClauseRenderer using a share lock kind, Timeout, and immutable lock targets		Phase 5	Migrate remaining overrides while introducing the renderer and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getReadLockString(java.lang.String,jakarta.persistence.Timeout)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Read-lock syntax with an unstructured alias String is one combination in the legacy overload matrix.	A supported LockingClauseRenderer request carrying share lock kind, Timeout, and immutable structured lock targets		Phase 5	The standard LockingClauseStrategy should collect targets and invoke the renderer once.
method:org.hibernate.dialect.Dialect#getWriteLockString(int)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REMOVE	This deprecated primitive-timeout write-lock overload duplicates the typed timeout rendering path.	The supported LockingClauseRenderer using an update lock kind and jakarta.persistence.Timeout		Phase 5	Migrate remaining overrides while introducing the renderer and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getWriteLockString(jakarta.persistence.Timeout)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Write-lock clause syntax is one lock-kind branch of a coherent rendering operation rather than an independent Dialect capability.	A supported LockingClauseRenderer request carrying update lock kind and Timeout		Phase 5	Centralize timeout selection in the renderer and validate it against LockingSupport.Metadata.
method:org.hibernate.dialect.Dialect#getWriteLockString(java.lang.String,int)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REMOVE	This deprecated primitive-timeout and unstructured-target overload duplicates the typed structured rendering path.	The supported LockingClauseRenderer using an update lock kind, Timeout, and immutable lock targets		Phase 5	Migrate remaining overrides while introducing the renderer and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getWriteLockString(java.lang.String,jakarta.persistence.Timeout)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Write-lock syntax with an unstructured alias String is one combination in the legacy overload matrix.	A supported LockingClauseRenderer request carrying update lock kind, Timeout, and immutable structured lock targets		Phase 5	The standard LockingClauseStrategy should collect targets and invoke the renderer once.
method:org.hibernate.dialect.Dialect#appendLockHint(org.hibernate.LockOptions,java.lang.String)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Table-reference locking is a supported database variation, but this String decorator accepts broad execution LockOptions and is split from the SQL AST locking-strategy lifecycle.	A supported TableLockHintRenderer composed into LockingSupport with a focused lock-kind, Timeout, and table-reference request		Phase 5	Five maintained or community overrides and three engine consumers were observed; reuse the renderer from SQL AST translators and legacy statement builders, preserve family composition, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#applyLocksToSql(java.lang.String,org.hibernate.LockOptions,java.util.Map)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Rewriting a completed SQL String is a legacy and native-SQL fallback concern whose broad map-based contract should not remain a method every Dialect inherits.	A supported LockingSqlRewriter strategy composed into LockingSupport and given a focused immutable request		Phase 5	Three maintained or community overrides and three engine consumers were observed; the default rewriter may compose the clause and table-hint renderers, custom providers may supply a specialized rewriter, and a versioned Migration Guide entry is required.
method:org.hibernate.dialect.Dialect#useFollowOnLocking(java.lang.String,org.hibernate.query.spi.QueryOptions)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Choosing follow-on locking is a genuine database policy, but the current method exposes broad query-execution SPI and an ad hoc raw-SQL pair instead of a stable locking contract.	A supported FollowOnLockingPolicy composed into LockingSupport and invoked with an immutable FollowOnLockingRequest		Phase 5	Three overrides and one engine consumer were observed; the request should carry finalized SQL, known statement-shape and pagination or offset facts, and focused lock kind, timeout, and scope values without exposing QueryOptions; add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#doesReadCommittedCauseWritersToBlockReaders()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REMOVE	This transaction-isolation characteristic does not influence ORM runtime behavior and is consumed only by hibernate-testing feature checks; it may also vary with database configuration rather than Dialect identity alone.	A test-side environment capability or behavioral probe in the Dialect compatibility test kit		Phase 6	Fifteen overrides and no production consumers were observed; remove the production Dialect hook, migrate Hibernate tests to test-side capability evidence, and add a versioned Migration Guide entry for provider test suites.
method:org.hibernate.dialect.Dialect#doesRepeatableReadCauseReadersToBlockWriters()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REMOVE	This transaction-isolation characteristic does not influence ORM runtime behavior and is consumed only by hibernate-testing feature checks; it may also vary with database configuration rather than Dialect identity alone.	A test-side environment capability or behavioral probe in the Dialect compatibility test kit		Phase 6	Eight overrides and no production consumers were observed; remove the production Dialect hook, migrate Hibernate tests to test-side capability evidence, and add a versioned Migration Guide entry for provider test suites.
method:org.hibernate.dialect.Dialect#registerResultSetOutParameter(java.sql.CallableStatement,int)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Positional REF_CURSOR registration is driver access behavior already represented by the RefCursorSupport service and should not remain one of several independent Dialect callbacks.	A provider-supplied RefCursorSupport strategy or supported construction factory		Phase 5	Twenty overrides and one fallback-service consumer were observed; migrate custom registrations to the coherent strategy, preserve SQLException conversion at the service boundary, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#registerResultSetOutParameter(java.sql.CallableStatement,java.lang.String)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Named REF_CURSOR registration is the named-parameter branch of the same driver access strategy rather than an independent Dialect capability.	A provider-supplied RefCursorSupport strategy or supported construction factory		Phase 5	Six overrides and one fallback-service consumer were observed; the strategy must define named-parameter support explicitly and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getResultSet(java.sql.CallableStatement,int)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Extracting a positional REF_CURSOR is paired with its registration operation and already belongs to the RefCursorSupport service boundary.	A provider-supplied RefCursorSupport strategy or supported construction factory		Phase 5	Seven overrides and one fallback-service consumer were observed; migrate them with positional registration and preserve JDBC exception conversion.
method:org.hibernate.dialect.Dialect#getResultSet(java.sql.CallableStatement,java.lang.String)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Extracting a named REF_CURSOR is paired with its registration operation and already belongs to the RefCursorSupport service boundary.	A provider-supplied RefCursorSupport strategy or supported construction factory		Phase 5	Seven overrides and one fallback-service consumer were observed; migrate them with named registration and preserve JDBC exception conversion.
method:org.hibernate.dialect.Dialect#getResultSet(java.sql.CallableStatement)	GENERAL_CAPABILITY	APPROVED	INTERNAL		REMOVE	This positionless stored-procedure ResultSet extraction callback has fifteen overrides but no remaining consumer and is not part of the active RefCursorSupport contract.	No replacement; use the positional or named RefCursorSupport extraction operations		Phase 5	Remove the dead overrides and add a versioned Migration Guide entry identifying the active ref-cursor strategy.
method:org.hibernate.dialect.Dialect#supportsRefCursors()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	A nullable Boolean selects between standard JDBC and Dialect fallback behavior but cannot identify the actual registration and extraction strategy that must be used.	A single provider-selected RefCursorSupport factory or strategy representing metadata-selected JDBC standard, forced JDBC standard, unsupported, or custom behavior		Phase 5	Two overrides and one service-initiator consumer were observed; migrate existing fallback callbacks into custom strategies, preserve a metadata-selected default, provide supported construction facilities, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#supportsBatchUpdates()	GENERAL_CAPABILITY	APPROVED	SPI	IMPLEMENT,SUPPLY	RETAIN	A provider may need to force or prohibit JDBC batching when driver metadata is inaccurate, while null deliberately delegates the decision to extracted metadata.			Phase 5	No in-tree overrides and one bootstrap consumer were observed; retain the tri-state metadata-override contract, document true, false, and null precisely, and test Dialect precedence over metadata.
method:org.hibernate.dialect.Dialect#supportsNamedParameters(java.sql.DatabaseMetaData)	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects need to correct or condition driver-reported named-parameter support using concrete driver metadata, and family implementations may delegate to the standard metadata answer.			Phase 5	Two Sybase-family overrides, provider super-delegation, and one metadata-extraction consumer were observed; retain the focused correction hook and define null metadata and SQLException behavior.
method:org.hibernate.dialect.Dialect#supportsNationalizedMethods()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects declare whether their JDBC driver correctly implements the nationalized String, LOB, and stream methods used by Hibernate and provider JDBC types.			Phase 5	Four overrides and sixty-seven consumers were observed; retain the focused driver capability, preserve provider read access, and cover nationalized bind, null-bind, and extraction fallbacks.
method:org.hibernate.dialect.Dialect#supportsBindAsCallableArgument()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REMOVE	No Hibernate behavior consults this callable-argument capability, so its sole provider override cannot affect procedure or function execution.	No replacement; use CallableStatementSupport if a concrete callable binding variation is required		Phase 5	One community override and no consumers were observed; remove the dead hook and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#supportsResultSetPositionQueryMethodsOnForwardOnlyCursor()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REMOVE	This forward-only cursor characteristic does not affect ORM runtime behavior and is consumed only by hibernate-testing feature checks.	A test-side environment capability or behavioral probe in the Dialect compatibility test kit		Phase 6	Seven overrides and no production consumers were observed; remove the production Dialect hook, migrate tests to test-side evidence, and add a versioned Migration Guide entry for provider test suites.
method:org.hibernate.dialect.Dialect#supportsInsertReturning()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Native INSERT RETURNING support is one dimension of the generated-values retrieval capability matrix and supplies defaults for update and ROWID returning.	An immutable supported GeneratedValuesSupport profile supplied by the Dialect		Phase 5	Seven overrides and seven consumers were observed; preserve provider configuration through the profile, validate dependent capabilities, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#supportsUpdateReturning()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Native UPDATE RETURNING support is related to but independently variable from INSERT RETURNING and should be represented in the same generated-values profile.	GeneratedValuesSupport#supportsUpdateReturning()		Phase 5	Two overrides and one consumer were observed; default this capability from INSERT RETURNING while allowing explicit family variation.
method:org.hibernate.dialect.Dialect#supportsInsertReturningRowId()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	ROWID returning is a specialized INSERT RETURNING capability whose validity depends on the database's native generated-values mechanism.	GeneratedValuesSupport#supportsInsertReturningRowId()		Phase 5	Three overrides and three consumers were observed; validate it consistently with native INSERT RETURNING and test ROWID collection separately from ordinary generated columns.
method:org.hibernate.dialect.Dialect#supportsInsertReturningGeneratedKeys()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	JDBC getGeneratedKeys support for arbitrary generated columns is a distinct retrieval mechanism but belongs in the same coherent generated-values profile used for delegate selection.	GeneratedValuesSupport#supportsArbitraryGeneratedKeys()		Phase 5	Three overrides and three consumers were observed; distinguish arbitrary-column support from identity-only getGeneratedKeys support and test delegate selection precedence.
method:org.hibernate.dialect.Dialect#unquoteGetGeneratedKeys()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Unquoting column names passed to prepareStatement is an option of the JDBC generated-keys mechanism, not an independent Dialect-wide capability.	GeneratedValuesSupport#unquoteGeneratedKeyColumnNames()		Phase 5	One H2 override and one consumer were observed; make the option meaningful only when arbitrary generated keys are supported and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#supportsWithClause()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Top-level WITH support is the base level of a hierarchical CTE placement capability and should not be independently configurable from subquery and nested placement.	An immutable supported CteSupport profile with a hierarchical placement level		Phase 5	Seven overrides and four consumers were observed; preserve provider configuration, reject dependent placement without base support, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#supportsWithClauseInSubquery()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	WITH in a subquery is a stronger CTE placement level whose current Boolean default and overrides can contradict top-level support.	CteSupport placement level SUBQUERY or stronger		Phase 5	Twenty overrides and four consumers were observed; migrate family variants and preserve the current default from top-level support.
method:org.hibernate.dialect.Dialect#supportsNestedWithClause()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	WITH inside another CTE is the strongest placement level and necessarily depends on subquery placement.	CteSupport placement level NESTED		Phase 5	Three overrides and one consumer were observed; validate the placement hierarchy and test translator inlining decisions.
method:org.hibernate.dialect.Dialect#supportsRecursiveCTE()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Recursive CTE support is the prerequisite for search and cycle features and belongs in one coherent CTE feature profile.	CteSupport recursive feature set		Phase 5	Twenty-five overrides and six consumers were observed, including provider function registration; preserve provider USE through the profile and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#supportsRecursiveSearchClause()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	SEARCH syntax is an optional recursive-CTE feature that must not be enabled when recursive CTEs are unavailable.	CteSupport recursive SEARCH feature		Phase 5	Five overrides and three translator consumers were observed; validate the prerequisite and test native rendering versus emulation.
method:org.hibernate.dialect.Dialect#supportsRecursiveCycleClause()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	CYCLE syntax is an optional recursive-CTE feature whose rendering and emulation decisions are coupled to other recursive capabilities.	CteSupport recursive CYCLE feature		Phase 5	Four overrides and five translator consumers were observed; validate the prerequisite and test native and emulated cycle handling.
method:org.hibernate.dialect.Dialect#supportsRecursiveCycleUsingClause()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	The CYCLE USING sub-clause is a refinement of CYCLE syntax and cannot validly be enabled independently.	CteSupport recursive CYCLE_USING feature		Phase 5	Three overrides and six consumers were observed, including provider translators; require CYCLE and recursive support and preserve provider USE through the profile.
method:org.hibernate.dialect.Dialect#supportsNonQueryWithCTE()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	CTEs attached to insert, update, and delete statements are a mutation-specific dimension of the same CTE feature family.	CteSupport mutation capability		Phase 5	Eleven overrides and two SQM mutation-strategy consumers were observed; retain strategy selection behavior and validate that WITH placement is available.
method:org.hibernate.dialect.Dialect#supportsConflictClauseForInsertCTE()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	An INSERT conflict clause inside a CTE is a refinement of non-query CTE support and should not be represented as an unrelated Boolean.	CteSupport INSERT_CONFLICT mutation feature		Phase 5	Five overrides and one mutation-handler consumer were observed; require non-query CTE support and test conflict-clause propagation.
method:org.hibernate.dialect.Dialect#supportsCteHeaderColumnList()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	CTE-header column-list syntax is an independent rendering option but belongs with the placement and recursion capabilities consumed by the same translator family.	CteSupport header-column-list option		Phase 5	Two overrides and two translator consumers were observed; preserve alias-projection fallback when disabled and test both rendering forms.
method:org.hibernate.dialect.Dialect#supportsRowConstructor()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Explicit SQL ROW constructor support is related to row-value expression handling but independently variable and should be represented in the same focused profile.	An immutable supported RowValueSupport profile supplied by the Dialect		Phase 5	Seven overrides and one recursive-CTE emulation consumer were observed; preserve the independent option and test array-and-row cycle emulation.
method:org.hibernate.dialect.Dialect#supportsRowValueConstructorSyntax()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Basic equality comparison of row values is the base predicate capability from which relational and distinct comparison support is derived.	RowValueSupport basic comparison capability		Phase 5	Twenty-eight overrides and five consumers were observed; preserve provider configuration, expose provider USE through the profile, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#supportsRowValueConstructorGtLtSyntax()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Ordered row-value comparison is a refinement of basic row-value comparison and cannot be enabled coherently without it.	RowValueSupport ordered-comparison capability		Phase 5	Five overrides and one translator consumer were observed; default from basic comparison support and validate the prerequisite.
method:org.hibernate.dialect.Dialect#supportsRowValueConstructorDistinctFromSyntax()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Row-value DISTINCT FROM syntax depends on both row-value and scalar DISTINCT FROM support and belongs with the row predicate capability matrix.	RowValueSupport distinct-comparison capability		Phase 5	Two overrides and two translator consumers were observed; preserve the derived default, allow explicit variation, and test emulation selection.
method:org.hibernate.dialect.Dialect#supportsRowValueConstructorSyntaxInInList()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Row values in literal or parameter IN lists are one predicate context of the row-value capability family.	RowValueSupport IN_LIST context		Phase 5	Twenty-seven overrides and five consumers were observed; preserve provider configuration and test native rendering versus emulation.
method:org.hibernate.dialect.Dialect#supportsRowValueConstructorSyntaxInInSubQuery()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Row values in IN subqueries are related to but independently variable from IN-list support and should be explicit in the same profile.	RowValueSupport IN_SUBQUERY context		Phase 5	Five overrides and two translator consumers were observed; preserve the current default from IN-list support while allowing family variation.
method:org.hibernate.dialect.Dialect#supportsRowValueConstructorSyntaxInQuantifiedPredicates()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Row values in quantified predicates are another predicate context consumed by the same translator emulation logic.	RowValueSupport QUANTIFIED_PREDICATE context		Phase 5	Thirty-five overrides and one translator consumer were observed; preserve provider configuration and test ALL, ANY, and SOME predicate rendering.
method:org.hibernate.dialect.Dialect#supportsTupleCounts()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Ordinary tuple-count support is one dimension of aggregate tuple rendering and is coupled to its parenthesis requirement.	An immutable supported TupleCountSupport profile supplied by the Dialect		Phase 5	Ten overrides and two consumers were observed; preserve provider configuration and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#requiresParensForTupleCounts()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	The ordinary tuple-count parenthesis rule is meaningful only when ordinary tuple counting is supported.	TupleCountSupport ordinary-count syntax option		Phase 5	No overrides and one consumer were observed; encode the current derived default and reject or ignore the option when ordinary tuple counts are unsupported.
method:org.hibernate.dialect.Dialect#supportsTupleDistinctCounts()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Distinct tuple-count support is related to but independently variable from ordinary tuple counts and has its own syntax rule.	TupleCountSupport distinct-count capability		Phase 5	Twenty overrides and one consumer were observed; preserve the current default and provider variations.
method:org.hibernate.dialect.Dialect#requiresParensForTupleDistinctCounts()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	The distinct tuple-count parenthesis rule is an option of distinct tuple-count syntax rather than an independent Dialect capability.	TupleCountSupport distinct-count syntax option		Phase 5	Seven overrides and one consumer were observed; make it meaningful only when distinct tuple counts are supported and test both syntax forms.
method:org.hibernate.dialect.Dialect#supportsUnionAll()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	UNION ALL is one member of the native set-operator capability set and is consumed by translators, union inheritance, and identifier generation.	An immutable supported SetOperationSupport profile with an explicit supported SetOperator set		Phase 5	Two overrides and five consumers were observed; preserve provider configuration and provider USE through the profile, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#supportsIntersect()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	INTERSECT support is one native set-operator capability used to select tuple and lateral emulations.	SetOperationSupport native operator set containing INTERSECT		Phase 5	Seven overrides and three translator consumers were observed; model the exact operator rather than deriving unrelated operator support from one Boolean.
method:org.hibernate.dialect.Dialect#supportsExceptAll()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	EXCEPT ALL support is one native set-operator capability and should not default indirectly from INTERSECT support.	SetOperationSupport native operator set containing EXCEPT_ALL		Phase 5	Two overrides and one full-join emulation consumer were observed; preserve explicit family variation and test native versus emulated full joins.
method:org.hibernate.dialect.Dialect#supportsUnionInSubquery()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Set-operation placement in subqueries is stable database syntax information that belongs with operator support even though its current consumers are compatibility tests rather than runtime translation.	SetOperationSupport subquery-placement capability		Phase 5	Three overrides and no production consumers were observed; preserve it for the compatibility test kit, add translator validation or adaptation where feasible, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#supportsDuplicateSelectItemsInQueryGroup()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Duplicate select-item restrictions apply specifically to set-operation query groups and affect wrapping and full-join emulation.	SetOperationSupport duplicate-select-item option		Phase 5	Three overrides and three translator consumers were observed; preserve provider variation and test wrapping decisions.
method:org.hibernate.dialect.Dialect#supportsSimpleQueryGrouping()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Whether a query group accepts direct parentheses is a set-operation rendering constraint consumed alongside operator and select-item capabilities.	SetOperationSupport simple-query-grouping option		Phase 5	Seven overrides and five translator consumers were observed, including provider translators; preserve provider USE through the profile and test direct grouping versus wrapper-query rendering.
method:org.hibernate.dialect.Dialect#supportsSubqueryInSelect()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Scalar subquery placement in the select list is stable database syntax information that belongs in a coherent subquery capability profile.	An immutable supported SubquerySupport profile supplied by the Dialect		Phase 5	One override and no production consumers were observed; preserve the capability for the compatibility test kit, add translator validation where feasible, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#supportsExistsInSelect()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	EXISTS in the select list is a specialized subquery-expression placement capability rather than an unrelated Dialect Boolean.	SubquerySupport EXISTS_IN_SELECT capability		Phase 5	Fourteen overrides and no production consumers were observed; preserve stable syntax evidence for the compatibility test kit and coordinate it with predicate-expression emulation.
method:org.hibernate.dialect.Dialect#supportsOrderByInSubquery()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	ORDER BY placement in subqueries is a stable query-shape restriction and belongs with offset and correlation capabilities.	SubquerySupport ORDER_BY capability		Phase 5	Fourteen overrides and no production consumers were observed; preserve it for compatibility testing and future translator validation or adaptation.
method:org.hibernate.dialect.Dialect#supportsOffsetInSubquery()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	OFFSET placement in subqueries actively controls pagination pushdown and is related to other subquery query-shape restrictions.	SubquerySupport OFFSET capability		Phase 5	Twenty-six overrides and two consumers were observed; preserve provider configuration and test derived-table pagination pushdown.
method:org.hibernate.dialect.Dialect#supportsNestedSubqueryCorrelation()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Correlation across more than one subquery level is an independent subquery capability used to select lateral emulation forms.	SubquerySupport NESTED_CORRELATION capability		Phase 5	Five overrides and two translator consumers were observed; preserve provider variation and test nested versus flattened emulation.
method:org.hibernate.dialect.Dialect#supportsSubqueryOnMutatingTable()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Referencing a mutation target from a subquery is a mutation-specific subquery restriction used by soft-delete strategy selection.	SubquerySupport MUTATION_TARGET_REFERENCE capability		Phase 5	Five overrides and one consumer were observed; preserve temporary-table fallback behavior and test self-referencing mutations.
method:org.hibernate.dialect.Dialect#supportsJoinInMutationStatementSubquery()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Join support inside a mutation-statement subquery is a focused subquery restriction used by join emulation.	SubquerySupport MUTATION_JOIN capability		Phase 5	Four overrides and one translator consumer were observed; preserve provider variation and test the alternate WHERE-clause restriction.
method:org.hibernate.dialect.Dialect#supportsSubselectAsInPredicateLHS()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	A subselect used as the left operand of IN is a specialized predicate placement capability that belongs with other subquery contexts.	SubquerySupport IN_PREDICATE_LHS capability		Phase 5	Two overrides and no production consumers were observed; preserve stable syntax evidence for compatibility testing and future validation.
method:org.hibernate.dialect.Dialect#supportsLateral()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	LATERAL or proprietary correlated-derived-table support is a major subquery capability consumed by SQM conversion and translator emulation.	SubquerySupport LATERAL capability, with rendering remaining in the SQL AST translator family		Phase 5	Twenty-seven overrides and seven consumers were observed, including provider rendering logic; preserve provider USE through the profile and test native and emulated lateral joins.
method:org.hibernate.dialect.Dialect#supportsStandardArrays()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Standard element-type ARRAY support is one dimension of database array behavior and is consumed together with array naming, construction, and parameter policy.	An immutable supported ArraySupport profile supplied by the Dialect		Phase 5	Ten overrides and seven consumers were observed; preserve provider USE through the profile, coordinate it with the approved array type-name and preferred-type hooks, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#supportsArrayConstructor()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	SQL array constructor syntax is an expression-level dimension of array support used by recursive-CTE emulation.	ArraySupport constructor-syntax capability		Phase 5	Eight overrides and one translator consumer were observed; keep it independently configurable from standard ARRAY type support and test array-and-row emulation.
method:org.hibernate.dialect.Dialect#useArrayForMultiValuedParameters()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	A Boolean preference hides the actual multivalued-parameter strategy and derives policy indirectly from array type capabilities.	ArraySupport multivalued-parameter strategy, initially ARRAY or EXPANDED		Phase 5	Two H2-family overrides and one multi-key loading consumer were observed; preserve the current derived default, allow explicit strategy selection, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#supportsValuesList()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	VALUES used as a query or table expression is one context of a coherent values-list syntax capability.	An immutable supported ValuesListSupport profile with explicit supported contexts		Phase 5	Twenty overrides and three consumers were observed; preserve provider configuration and provider USE through the profile, and test predicate and Boolean-cast emulations.
method:org.hibernate.dialect.Dialect#supportsValuesListForInsert()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	Multi-row VALUES in INSERT is related to but independently variable from VALUES used as a query expression.	ValuesListSupport INSERT context		Phase 5	Three overrides and two consumers were observed; keep the contexts independent and test insert-plan selection and SQL rendering.
method:org.hibernate.dialect.Dialect#getLimitHandler()	GENERAL_CAPABILITY	APPROVED	SPI	USE,IMPLEMENT,SUPPLY	RETAIN	Provider Dialects supply pagination behavior for native and already-rendered SQL, and family implementations may reuse a supported standard handler.			Phase 5	Forty-four overrides and three consumers were observed; move LimitHandler and supported family bases to an SPI package, keep built-in leaves internal where appropriate, replace QueryOptions with a focused immutable pagination request, eliminate stateful processing requirements where feasible, and add a versioned Migration Guide entry.
method:org.hibernate.dialect.Dialect#getInExpressionCountLimit()	GENERAL_CAPABILITY	APPROVED	INTERNAL		REPLACE	The maximum IN-list element count is one numeric statement-limit dimension and should be supplied coherently with the total JDBC parameter limit.	An immutable supported ParameterLimits profile supplied by the Dialect		Phase 5	Sixteen overrides and three consumers were observed; preserve provider USE through the profile, normalize nonpositive values as unlimited, and add a versioned Migration Guide entry.
